MSZoning,LotFrontage,LotArea,Street,LandContour,Neighborhood,BldgType,HouseStyle,YearBuilt,RoofMatl,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,PoolQC,Fence,SaleType,SaleCondition,SalePrice,TotBath,TotalPorchSF,Pool
RL,91.0,14145,Pave,Lvl,NWAmes,1Fam,1Story,1984,CompShg,Wd Sdng,None,0.0,TA,CBlock,Gd,TA,Mn,ALQ,1208,Ex,Y,SBrkr,1621,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,108,NA,NA,WD,Normal,202500,3,45,No
RL,66.0,12400,Pave,Lvl,NAmes,1Fam,1Story,1958,CompShg,Wd Sdng,BrkFace,176.0,TA,CBlock,TA,Fa,No,Rec,1215,TA,Y,FuseA,1215,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,155000,1,234,No
RL,85.0,14191,Pave,Lvl,Timber,1Fam,2Story,2002,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,Unf,967,Ex,Y,SBrkr,1908,Gd,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,135,NA,NA,WD,Normal,202900,3,0,No
RH,60.0,8400,Pave,Lvl,SawyerW,1Fam,1Story,1950,CompShg,AsbShng,None,0.0,Fa,CBlock,TA,Fa,No,Unf,721,Gd,Y,SBrkr,841,TA,Typ,0,NA,CarPort,Unf,1,TA,TA,N,250,NA,NA,WD,Normal,82000,1,24,No
RL,70.0,8544,Pave,Lvl,NAmes,Duplex,1Story,1949,CompShg,Stucco,BrkFace,340.0,TA,Slab,NA,NA,NA,NA,0,Fa,N,FuseA,1040,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,87500,2,0,No
RL,63.0,8849,Pave,Lvl,NridgHt,TwnhsE,1Story,2005,CompShg,MetalSd,BrkFace,616.0,TA,PConc,Ex,TA,No,GLQ,1684,Ex,Y,SBrkr,1684,Ex,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,495,NA,NA,WD,Normal,266000,2,72,No
RM,36.0,2592,Pave,Lvl,MeadowV,TwnhsE,2Story,1976,CompShg,CmentBd,None,0.0,TA,CBlock,Gd,TA,No,Rec,536,TA,Y,SBrkr,1112,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,182,NA,NA,WD,Normal,85000,2,0,No
RL,65.0,6435,Pave,Lvl,BrkSide,1Fam,1.5Fin,1939,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,TA,No,Unf,972,Gd,Y,SBrkr,1577,Fa,Typ,1,Gd,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,140200,1,0,No
RL,70.0,12772,Pave,Lvl,NAmes,1Fam,1Story,1960,CompShg,MetalSd,None,0.0,Gd,CBlock,TA,TA,Mn,BLQ,958,TA,Y,SBrkr,958,TA,Typ,0,NA,Attchd,RFn,1,TA,TA,Y,0,NA,NA,WD,Normal,151500,1,0,No
RL,70.0,17600,Pave,Lvl,NAmes,1Fam,1Story,1960,CompShg,Wd Sdng,BrkFace,30.0,TA,CBlock,TA,TA,No,BLQ,1478,Ex,Y,FuseA,1478,TA,Typ,2,Gd,Attchd,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,157500,3,40,No
RL,36.0,2448,Pave,Lvl,NridgHt,Twnhs,2Story,2003,CompShg,Wd Shng,Stone,106.0,TA,PConc,Gd,TA,No,GLQ,764,Ex,Y,SBrkr,1626,Gd,Typ,0,NA,BuiltIn,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,154000,4,27,No
RL,56.0,20431,Pave,Lvl,NridgHt,1Fam,2Story,2005,CompShg,CmentBd,BrkFace,870.0,TA,PConc,Ex,TA,No,GLQ,1848,Ex,Y,SBrkr,2728,Ex,Typ,2,Ex,Attchd,Fin,3,TA,TA,Y,0,NA,NA,New,Partial,437154,4,0,No
RL,68.0,7820,Pave,Lvl,NridgHt,TwnhsE,1Story,2007,CompShg,MetalSd,BrkFace,362.0,TA,PConc,Ex,TA,No,Unf,1869,Ex,Y,SBrkr,1869,Ex,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,210,NA,NA,New,Partial,318061,2,54,No
RL,70.0,5271,Pave,Low,ClearCr,1Fam,1Story,1986,CompShg,Wd Sdng,None,0.0,TA,PConc,Gd,TA,Gd,GLQ,1453,Gd,Y,SBrkr,1453,Gd,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Abnorml,190000,3,264,No
RL,60.0,9084,Pave,Lvl,Edwards,1Fam,1.5Fin,1941,CompShg,VinylSd,None,0.0,TA,CBlock,TA,Fa,Mn,LwQ,616,TA,N,SBrkr,1111,TA,Typ,0,NA,Detchd,Unf,1,TA,Fa,Y,48,NA,NA,ConLw,Normal,95000,2,0,No
RM,60.0,8520,Pave,Lvl,OldTown,1Fam,1Story,1928,CompShg,VinylSd,None,0.0,Gd,BrkTil,TA,TA,No,Unf,624,Gd,Y,SBrkr,720,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,106,NA,NA,WD,Normal,105900,1,0,No
RL,60.0,8400,Pave,Bnk,SWISU,1Fam,1.5Fin,1940,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,No,LwQ,940,Ex,Y,SBrkr,1595,TA,Typ,2,Gd,Attchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,140000,1,108,No
RL,105.0,11249,Pave,Lvl,CollgCr,1Fam,1Story,1995,CompShg,VinylSd,None,0.0,Gd,PConc,Gd,Gd,No,ALQ,1200,Ex,Y,SBrkr,1200,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,177500,3,26,No
RL,70.0,9248,Pave,Lvl,Gilbert,1Fam,1Story,1992,CompShg,HdBoard,BrkFace,106.0,TA,PConc,Gd,TA,No,GLQ,1158,Gd,Y,SBrkr,1167,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,120,NA,NA,WD,Normal,173000,3,26,No
RM,44.0,4224,Pave,Lvl,MeadowV,TwnhsE,1Story,1976,CompShg,CmentBd,None,0.0,TA,PConc,Gd,TA,No,ALQ,1142,TA,Y,SBrkr,1142,TA,Typ,1,Po,Attchd,Fin,2,TA,TA,Y,536,NA,MnPrv,WD,Normal,134000,3,90,No
RL,92.0,6930,Pave,Lvl,ClearCr,1Fam,SLvl,1958,CompShg,ImStucc,BrkFace,120.0,TA,CBlock,TA,TA,Av,BLQ,1062,Ex,Y,FuseF,1352,Gd,Min2,0,NA,BuiltIn,Unf,1,TA,TA,Y,168,NA,NA,WD,Abnorml,130000,2,294,No
RL,78.0,12011,Pave,Lvl,NoRidge,1Fam,2Story,1998,CompShg,VinylSd,BrkFace,530.0,TA,PConc,Gd,TA,Av,GLQ,1086,Ex,Y,SBrkr,1924,Gd,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,208,NA,NA,WD,Normal,280000,4,449,No
RL,70.0,7540,Pave,Lvl,Mitchel,1Fam,SFoyer,1978,CompShg,VinylSd,None,0.0,TA,CBlock,Gd,TA,Av,GLQ,888,Ex,Y,SBrkr,912,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,NA,MnPrv,WD,Normal,156000,2,192,No
RL,70.0,9144,Pave,Lvl,BrkSide,1Fam,1.5Fin,1940,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,No,Rec,883,Gd,Y,SBrkr,1505,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,N,0,NA,NA,WD,Normal,145000,2,0,No
RL,64.0,7301,Pave,Lvl,Edwards,1Fam,SFoyer,2003,CompShg,HdBoard,BrkFace,500.0,TA,Slab,NA,NA,NA,NA,0,Ex,Y,SBrkr,1922,Gd,Typ,1,Ex,BuiltIn,RFn,2,TA,TA,Y,0,NA,NA,ConLD,Normal,198500,3,177,No
RM,21.0,1680,Pave,Lvl,BrDale,Twnhs,2Story,1972,CompShg,HdBoard,BrkFace,510.0,TA,CBlock,TA,TA,No,ALQ,483,Gd,Y,SBrkr,987,Gd,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,250,NA,NA,WD,Normal,118000,2,0,No
RL,70.0,18800,Pave,Lvl,NWAmes,1Fam,2Story,1976,CompShg,HdBoard,BrkFace,120.0,TA,PConc,Gd,TA,Mn,GLQ,796,TA,Y,SBrkr,1574,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,306,NA,NA,WD,Normal,190000,4,111,No
RM,59.0,10690,Pave,Lvl,IDOTRR,1Fam,2Story,1920,CompShg,VinylSd,None,0.0,Gd,CBlock,TA,Fa,No,Rec,672,Gd,Y,FuseA,1344,TA,Typ,0,NA,Detchd,Unf,1,TA,Fa,Y,0,NA,NA,WD,Normal,147000,1,346,No
RL,70.0,9500,Pave,Lvl,NAmes,1Fam,1Story,1963,CompShg,Plywood,BrkFace,247.0,TA,CBlock,Gd,TA,No,BLQ,1394,Gd,Y,SBrkr,1394,TA,Typ,2,Gd,Attchd,RFn,2,TA,TA,Y,0,NA,NA,WD,Normal,159000,3,261,No
RL,101.0,9150,Pave,Lvl,NAmes,1Fam,SLvl,1962,Tar&Grv,Plywood,BrkFace,305.0,TA,CBlock,Gd,TA,Gd,GLQ,1099,Gd,Y,SBrkr,1431,TA,Typ,1,Gd,Basment,RFn,1,TA,TA,Y,64,NA,NA,WD,Normal,165000,2,110,No
RL,78.0,7800,Pave,Lvl,NAmes,1Fam,1Story,1954,CompShg,HdBoard,BrkFace,200.0,TA,PConc,TA,TA,No,LwQ,1268,Gd,Y,SBrkr,1268,TA,Typ,1,Gd,Attchd,Fin,1,TA,TA,Y,0,NA,NA,WD,Normal,132000,1,98,No
RL,70.0,9830,Pave,Lvl,NAmes,1Fam,1Story,1959,CompShg,Wd Sdng,None,0.0,Gd,CBlock,TA,TA,No,ALQ,1063,Ex,Y,SBrkr,1287,Gd,Typ,1,Gd,Detchd,Fin,2,TA,TA,Y,364,NA,NA,WD,Normal,162000,2,199,No
RL,70.0,8121,Pave,Lvl,Gilbert,1Fam,2Story,2000,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,Unf,953,Ex,Y,SBrkr,1664,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,100,NA,NA,WD,Normal,172400,3,40,No
RL,80.0,17120,Pave,Lvl,ClearCr,1Fam,1.5Fin,1959,CompShg,Plywood,None,0.0,TA,CBlock,NA,NA,NA,NA,0,TA,Y,SBrkr,1588,TA,Min2,1,Gd,Detchd,Fin,2,TA,TA,N,0,NA,NA,WD,Normal,134432,2,59,No
RL,50.0,7175,Pave,Lvl,SawyerW,TwnhsE,1Story,1984,CompShg,Plywood,None,0.0,TA,CBlock,Gd,TA,No,ALQ,744,TA,Y,SBrkr,752,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,353,NA,MnPrv,WD,Normal,125000,2,90,No
RL,79.0,10634,Pave,Lvl,NAmes,1Fam,1Story,1953,CompShg,MetalSd,None,0.0,TA,PConc,TA,TA,No,BLQ,608,TA,Y,SBrkr,1319,TA,Min2,0,NA,Attchd,Unf,1,TA,TA,Y,66,NA,GdWo,WD,Normal,123000,2,0,No
RL,65.0,8200,Pave,Lvl,CollgCr,1Fam,2Story,2003,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,Unf,847,Ex,Y,SBrkr,1928,Gd,Typ,1,Gd,BuiltIn,Fin,2,TA,TA,Y,100,NA,NA,WD,Normal,219500,3,48,No
RL,70.0,10020,Pave,Low,Edwards,1Fam,1Story,1922,CompShg,Wd Sdng,None,0.0,Fa,BrkTil,Fa,Po,Gd,BLQ,683,Gd,N,FuseA,904,Fa,Maj1,0,NA,NA,NA,0,NA,NA,Y,0,NA,NA,WD,Normal,61000,2,0,No
RL,57.0,8846,Pave,Lvl,CollgCr,1Fam,SFoyer,1996,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,GLQ,870,Ex,Y,SBrkr,914,TA,Typ,0,NA,Detchd,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,148000,1,0,No
FV,102.0,11143,Pave,Lvl,Somerst,1Fam,2Story,2004,CompShg,CmentBd,None,0.0,TA,PConc,Gd,TA,No,Unf,1580,Ex,Y,SBrkr,2466,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,159,NA,NA,WD,Normal,340000,3,214,No
RL,88.0,11394,Pave,Lvl,StoneBr,1Fam,1Story,2010,CompShg,VinylSd,Stone,350.0,TA,PConc,Ex,TA,Av,GLQ,1856,Ex,Y,SBrkr,1856,Ex,Typ,1,Ex,Attchd,Fin,3,TA,TA,Y,113,NA,NA,New,Partial,394432,3,0,No
RL,60.0,8123,Pave,Lvl,Gilbert,1Fam,2Story,2000,CompShg,VinylSd,BrkFace,16.0,TA,PConc,Gd,TA,No,Unf,982,Ex,Y,SBrkr,1800,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,100,NA,NA,WD,Normal,179000,3,63,No
RL,50.0,5000,Pave,Lvl,SWISU,1Fam,1.5Fin,1924,CompShg,Wd Sdng,None,0.0,TA,BrkTil,TA,TA,No,LwQ,1026,TA,Y,SBrkr,1691,Gd,Typ,1,Gd,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,127000,2,242,No
FV,60.0,7200,Pave,Lvl,Somerst,1Fam,1Story,2006,CompShg,VinylSd,None,0.0,TA,PConc,Gd,Gd,No,Unf,1293,Ex,Y,SBrkr,1301,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,216,NA,NA,New,Partial,187750,3,121,No
RL,79.0,9245,Pave,Lvl,CollgCr,1Fam,2Story,2006,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,Unf,939,Ex,Y,SBrkr,1797,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,144,NA,NA,WD,Normal,213500,3,53,No
RH,60.0,9000,Pave,Lvl,SawyerW,1Fam,1.5Unf,1928,CompShg,Wd Sdng,None,0.0,TA,BrkTil,Fa,Fa,No,Unf,784,TA,N,FuseA,784,TA,Typ,0,NA,Detchd,Unf,2,Fa,Fa,N,0,NA,NA,WD,Normal,76000,1,91,No
RL,70.0,53107,Pave,Low,ClearCr,1Fam,2Story,1992,CompShg,HdBoard,None,0.0,TA,PConc,Gd,TA,Av,GLQ,1580,Ex,Y,SBrkr,1953,Gd,Typ,2,Fa,Attchd,Fin,2,TA,TA,Y,216,NA,NA,WD,Normal,240000,4,231,No
RL,43.0,3182,Pave,Lvl,Blmngtn,TwnhsE,1Story,2004,CompShg,VinylSd,BrkFace,16.0,TA,PConc,Gd,TA,No,GLQ,1256,Ex,Y,SBrkr,1269,Gd,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,146,NA,NA,WD,Normal,192000,2,164,No
RL,58.0,8410,Pave,Lvl,Edwards,1Fam,1.5Fin,1910,CompShg,VinylSd,None,0.0,Fa,PConc,TA,TA,No,Unf,658,TA,Y,SBrkr,1184,TA,Typ,0,NA,NA,NA,0,NA,NA,N,0,NA,NA,WD,AdjLand,81000,1,151,No
RL,72.0,7200,Pave,Lvl,Edwards,1Fam,SLvl,1976,CompShg,MetalSd,BrkFace,255.0,TA,CBlock,TA,TA,Av,ALQ,1041,Ex,Y,SBrkr,1125,TA,Typ,1,Fa,Detchd,Unf,1,TA,TA,Y,296,NA,GdWo,WD,Abnorml,125000,2,0,No
RL,93.0,9382,Pave,Lvl,CollgCr,1Fam,1Story,1999,CompShg,VinylSd,BrkFace,125.0,TA,PConc,Gd,TA,No,Unf,1468,Ex,Y,SBrkr,1479,Gd,Typ,0,NA,Attchd,RFn,2,TA,TA,Y,120,NA,NA,WD,Normal,191000,2,25,No
RL,96.0,12474,Pave,Lvl,NridgHt,1Fam,2Story,2007,CompShg,VinylSd,Stone,272.0,TA,PConc,Ex,TA,Av,GLQ,1682,Ex,Y,SBrkr,2332,Ex,Typ,1,Ex,BuiltIn,Fin,3,TA,TA,Y,196,NA,NA,New,Partial,426000,4,134,No
RL,50.0,8405,Pave,Lvl,Edwards,1Fam,1.5Fin,1900,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,Gd,No,Rec,861,Ex,Y,SBrkr,1367,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,MnPrv,WD,Normal,119000,2,242,No
RL,71.0,12209,Pave,Lvl,Mitchel,1Fam,2Story,2001,CompShg,VinylSd,None,0.0,TA,PConc,Ex,TA,No,ALQ,804,Ex,Y,SBrkr,1961,Gd,Typ,1,TA,BuiltIn,Fin,2,TA,TA,Y,125,NA,NA,WD,Normal,215000,4,192,No
RL,70.0,8339,Pave,Lvl,NAmes,1Fam,1Story,1959,CompShg,MetalSd,None,0.0,TA,Slab,NA,NA,NA,NA,0,TA,Y,SBrkr,882,TA,Typ,0,NA,Attchd,RFn,1,TA,TA,Y,0,NA,MnPrv,WD,Normal,106500,1,0,No
RL,70.0,7446,Pave,Lvl,BrkSide,1Fam,1Story,1941,CompShg,Wd Shng,None,0.0,TA,CBlock,TA,TA,No,Rec,788,TA,Y,FuseA,788,TA,Typ,2,TA,NA,NA,0,NA,NA,Y,0,NA,GdWo,WD,Abnorml,100000,1,0,No
RL,60.0,10134,Pave,Lvl,OldTown,1Fam,1.5Fin,1940,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,No,Unf,735,Gd,Y,FuseA,1034,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,109000,1,39,No
RL,68.0,9571,Pave,Lvl,Edwards,1Fam,1Story,1956,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,TA,Av,BLQ,1144,TA,Y,SBrkr,1144,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,44,NA,NA,WD,Normal,129000,2,0,No
RL,60.0,7200,Pave,Low,CollgCr,1Fam,1Story,1972,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,Av,Rec,894,TA,Y,SBrkr,894,TA,Typ,0,NA,Detchd,RFn,2,TA,TA,Y,215,NA,NA,WD,Normal,123000,1,0,No
RL,69.0,7590,Pave,Lvl,NAmes,1Fam,2Story,1962,CompShg,VinylSd,BrkFace,288.0,TA,CBlock,TA,TA,No,ALQ,864,TA,Y,SBrkr,1812,TA,Typ,1,TA,Attchd,RFn,1,TA,TA,Y,0,NA,NA,WD,Normal,169500,2,168,No
RM,60.0,8967,Pave,Lvl,IDOTRR,1Fam,1Story,1920,CompShg,MetalSd,None,0.0,Fa,BrkTil,Fa,Po,No,Unf,961,Gd,Y,Mix,1077,TA,Maj2,0,NA,Detchd,Unf,1,Po,Po,N,0,NA,NA,WD,Abnorml,67000,1,0,No
FV,65.0,8125,Pave,Lvl,Somerst,1Fam,2Story,2006,CompShg,CmentBd,Stone,100.0,TA,PConc,Gd,TA,No,GLQ,1092,Ex,Y,SBrkr,1550,Gd,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,241000,3,168,No
RL,38.0,14963,Pave,Lvl,Veenker,TwnhsE,1Story,1996,CompShg,BrkFace,None,0.0,TA,PConc,Gd,TA,No,GLQ,1260,Ex,Y,SBrkr,1288,Ex,Typ,2,Gd,Attchd,Fin,2,TA,TA,Y,120,NA,NA,WD,Normal,245500,3,254,No
RL,65.0,8767,Pave,Lvl,CollgCr,1Fam,1Story,2005,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,GLQ,1310,Ex,Y,SBrkr,1310,Gd,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,0,NA,NA,New,Partial,164990,2,0,No
RL,60.0,10200,Pave,Lvl,Sawyer,1Fam,1Story,1940,CompShg,Wd Sdng,None,0.0,TA,PConc,TA,TA,No,Unf,672,Ex,Y,SBrkr,672,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,N,168,NA,GdPrv,WD,Normal,108000,1,0,No
RL,93.0,12090,Pave,Lvl,NoRidge,1Fam,2Story,1998,CompShg,VinylSd,BrkFace,650.0,TA,PConc,Gd,TA,No,Unf,1141,Gd,Y,SBrkr,2263,Gd,Typ,1,TA,BuiltIn,Fin,2,TA,TA,Y,144,NA,NA,WD,Abnorml,258000,3,123,No
RL,70.0,10364,Pave,Lvl,Gilbert,1Fam,2Story,1995,CompShg,MetalSd,None,0.0,TA,PConc,Gd,TA,No,Unf,806,Gd,Y,SBrkr,1572,TA,Typ,1,TA,BuiltIn,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,168000,3,40,No
RL,70.0,9991,Pave,Lvl,Sawyer,1Fam,1Story,1976,CompShg,Plywood,None,0.0,TA,CBlock,TA,TA,No,BLQ,1281,Ex,Y,SBrkr,1620,TA,Min1,1,TA,Attchd,Unf,2,TA,TA,Y,120,NA,GdWo,WD,Normal,150000,3,78,No
RL,51.0,10480,Pave,Lvl,SWISU,1Fam,1.5Fin,1936,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,TA,No,Unf,1064,Ex,Y,FuseA,1639,TA,Maj2,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,115000,1,0,No
RL,63.0,15576,Pave,Lvl,Crawfor,1Fam,2Story,1915,CompShg,Plywood,None,0.0,TA,BrkTil,Gd,TA,No,Unf,840,Ex,Y,SBrkr,1680,TA,Typ,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,177000,2,160,No
RL,109.0,14154,Pave,Lvl,NridgHt,1Fam,2Story,2006,CompShg,VinylSd,BrkFace,350.0,TA,PConc,Ex,Gd,No,Unf,1063,Ex,Y,SBrkr,2172,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,192,NA,NA,New,Partial,280000,3,62,No
FV,85.0,10800,Pave,Lvl,Somerst,1Fam,2Story,2007,CompShg,VinylSd,Stone,100.0,TA,PConc,Ex,TA,No,GLQ,1034,Ex,Y,SBrkr,2078,Ex,Typ,1,Gd,Attchd,Fin,3,TA,TA,Y,0,NA,NA,New,Partial,339750,4,102,No
RL,68.0,9571,Pave,Lvl,Edwards,1Fam,1Story,1958,CompShg,Brk Cmn,None,0.0,Fa,CBlock,TA,Fa,No,Unf,1276,TA,Y,FuseA,1276,TA,Mod,0,NA,Attchd,Unf,1,TA,TA,Y,0,NA,NA,COD,Abnorml,60000,1,0,No
RL,100.0,34650,Pave,Bnk,Gilbert,2fmCon,1Story,1955,CompShg,Wd Sdng,None,0.0,TA,CBlock,TA,TA,Mn,Rec,1056,TA,N,SBrkr,1056,TA,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,264,NA,NA,WD,Normal,145000,2,0,No
FV,70.0,4403,Pave,Lvl,Somerst,1Fam,1Story,2009,CompShg,MetalSd,Stone,432.0,TA,PConc,Ex,TA,Av,GLQ,1470,Ex,Y,SBrkr,1478,Gd,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,0,NA,NA,New,Partial,222000,4,144,No
RM,56.0,8960,Pave,Lvl,OldTown,1Fam,1Story,1927,CompShg,Wd Shng,None,0.0,TA,CBlock,TA,TA,No,Unf,1008,Gd,Y,FuseA,1028,TA,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,0,NA,NA,WD,Normal,115000,1,130,No
RL,59.0,11228,Pave,Lvl,SawyerW,1Fam,2Story,1993,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,No,BLQ,1080,Ex,Y,SBrkr,2097,Gd,Typ,1,TA,Attchd,Unf,3,TA,TA,Y,196,NA,NA,WD,Normal,228000,4,187,No
RL,73.0,8899,Pave,Lvl,Gilbert,1Fam,1Story,2007,CompShg,VinylSd,None,0.0,TA,PConc,Gd,TA,Av,GLQ,1340,Ex,Y,SBrkr,1340,Gd,Typ,0,NA,Attchd,Fin,2,TA,TA,Y,100,NA,NA,New,Partial,181134,2,30,No
RL,74.0,7844,Pave,Lvl,Sawyer,1Fam,2Story,1978,CompShg,HdBoard,BrkFace,203.0,TA,CBlock,TA,TA,No,ALQ,672,TA,Y,SBrkr,1400,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,NA,NA,WD,Normal,149500,2,0,No
RL,86.0,22420,Pave,Lvl,Crawfor,1Fam,2Story,1918,CompShg,Stucco,None,0.0,TA,BrkTil,Gd,TA,No,BLQ,1370,TA,N,FuseA,2624,TA,Typ,1,Gd,Detchd,Unf,3,TA,TA,N,0,NA,NA,WD,Normal,239000,4,0,No
RL,60.0,8160,Pave,Lvl,Edwards,1Fam,1.5Fin,1940,CompShg,MetalSd,None,0.0,TA,BrkTil,TA,TA,No,ALQ,756,Fa,N,FuseF,1134,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,P,0,NA,NA,WD,AdjLand,126000,3,0,No
RL,65.0,8450,Pave,Lvl,NAmes,1Fam,1Story,1968,CompShg,VinylSd,None,0.0,TA,CBlock,TA,TA,No,BLQ,1056,Ex,Y,SBrkr,1056,TA,Typ,1,Fa,Attchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,142000,2,269,No
RM,78.0,7060,Pave,Lvl,Mitchel,Duplex,SFoyer,1997,CompShg,VinylSd,BrkFace,200.0,Gd,PConc,Gd,Gd,Gd,GLQ,1344,Ex,Y,SBrkr,1344,TA,Typ,0,NA,Attchd,Fin,4,TA,TA,Y,0,NA,NA,WD,Alloca,206300,4,0,No
RL,70.0,16635,Pave,Lvl,NWAmes,1Fam,1Story,1977,CompShg,CmentBd,Stone,126.0,TA,CBlock,Gd,TA,No,ALQ,1602,Gd,Y,SBrkr,1602,Gd,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,240,NA,NA,WD,Normal,215000,3,0,No
RL,100.0,21750,Pave,HLS,Mitchel,1Fam,1Story,1954,CompShg,HdBoard,None,0.0,TA,CBlock,TA,TA,No,Unf,988,Ex,Y,FuseA,988,TA,Typ,0,NA,Attchd,RFn,2,TA,TA,N,0,NA,NA,WD,Normal,113000,1,0,No
RL,80.0,9200,Pave,Lvl,NoRidge,1Fam,2Story,1998,CompShg,VinylSd,BrkFace,473.0,TA,PConc,Gd,TA,No,GLQ,1470,Gd,Y,SBrkr,2630,Gd,Typ,1,TA,Attchd,Fin,3,TA,TA,Y,0,NA,NA,WD,Normal,315000,4,66,No
RL,72.0,9000,Pave,Lvl,NAmes,1Fam,1Story,1956,CompShg,Wd Sdng,BrkFace,74.0,TA,CBlock,Gd,TA,No,LwQ,1196,Gd,Y,FuseA,1196,TA,Typ,1,Gd,Attchd,RFn,1,TA,TA,Y,0,NA,NA,WD,Normal,139000,2,44,No
RM,60.0,3378,Pave,HLS,OldTown,1Fam,2Story,1946,CompShg,HdBoard,None,0.0,Gd,CBlock,TA,TA,No,Unf,651,Gd,Y,SBrkr,1389,TA,Typ,2,Gd,Detchd,Unf,1,TA,TA,P,0,NA,NA,WD,Normal,135000,2,126,No
RL,70.0,12800,Pave,Low,SawyerW,1Fam,SLvl,1989,CompShg,Wd Sdng,BrkFace,145.0,TA,PConc,Gd,TA,Gd,GLQ,1518,Gd,Y,SBrkr,1644,Gd,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,80,NA,NA,WD,Normal,275000,4,396,No
RL,77.0,8593,Pave,Lvl,NAmes,1Fam,1Story,1957,CompShg,MetalSd,None,0.0,TA,CBlock,TA,TA,No,Rec,907,Ex,Y,SBrkr,907,TA,Typ,0,NA,Detchd,Unf,1,TA,TA,Y,0,NA,NA,WD,Normal,109008,1,0,No
